hotel_id,country,region,resort_type,room_type,hotel_size_rooms,month,is_school_holiday,is_weekend,days_to_christmas,rate_eur_per_night
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,1,0,0,345,1140.0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,2,1,0,315,1260.0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,3,0,0,280,1110.0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,4,1,0,251,910.0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,5,0,0,229,2560.0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,6,0,0,180,4000.0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,7,1,0,160,4020.0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,8,1,1,137,3730.0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,10,0,1,81,2480.0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,12,1,0,2,1690.0
amanzoe,Greece,Europe,beach,Superior Room,38.0,1,0,0,345,1330.0
amanzoe,Greece,Europe,beach,Superior Room,38.0,2,1,0,315,1470.0
amanzoe,Greece,Europe,beach,Superior Room,38.0,3,0,0,280,1170.0
amanzoe,Greece,Europe,beach,Superior Room,38.0,4,1,0,251,1500.0
amanzoe,Greece,Europe,beach,Superior Room,38.0,5,0,0,229,3110.0
amanzoe,Greece,Europe,beach,Superior Room,38.0,6,0,0,180,5190.0
amanzoe,Greece,Europe,beach,Superior Room,38.0,7,1,0,160,4800.0
amanzoe,Greece,Europe,beach,Superior Room,38.0,8,1,1,137,5910.0
amanzoe,Greece,Europe,beach,Superior Room,,10,0,1,81,3340.0
amanzoe,Greece,Europe,beach,Superior Room,38.0,12,1,0,2,1770.0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,1,0,0,345,1630.0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,2,1,0,315,2340.0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,3,0,0,280,2100.0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,4,1,0,251,1730.0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,5,0,0,229,3960.0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,6,0,0,180,6610.0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,7,1,0,160,6240.0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,8,1,1,137,6550.0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,10,0,1,81,4130.0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,12,1,0,2,2780.0
amanzoe,Greece,Europe,beach,Suite,38.0,1,0,0,345,2670.0
amanzoe,Greece,Europe,beach,Suite,38.0,2,1,0,315,2890.0
amanzoe,Greece,Europe,beach,Suite,38.0,3,0,0,280,2750.0
amanzoe,Greece,Europe,beach,Suite,38.0,4,1,0,251,2420.0
amanzoe,Greece,Europe,beach,Suite,38.0,5,0,0,229,5340.0
amanzoe,Greece,Europe,beach,Suite,38.0,6,0,0,180,9450.0
amanzoe,Greece,Europe,beach,Suite,38.0,7,1,0,160,8460.0
amanzoe,Greece,Europe,beach,Suite,38.0,8,1,1,137,8830.0
amanzoe,Greece,Europe,beach,Suite,38.0,10,0,1,81,6380.0
amanzoe,Greece,Europe,beach,Suite,38.0,12,1,0,2,4100.0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,1,0,0,345,3610.0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,2,1,0,315,4190.0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,3,0,0,280,3210.0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,4,1,0,251,3850.0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,5,0,0,229,8100.0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,6,0,0,180,13470.0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,7,1,0,160,14000.0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,8,1,1,137,14600.0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,10,0,1,81,8670.0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,12,1,0,2,4460.0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,1,0,0,345,4940.0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,2,1,0,315,6480.0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,3,0,0,280,4980.0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,4,1,0,251,4680.0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,5,0,0,229,11550.0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,6,0,0,180,18940.0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,7,1,0,160,20400.0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,8,1,1,137,21680.0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,10,0,1,81,13250.0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,12,1,0,2,8060.0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,1,0,0,345,560.0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,2,1,0,315,700.0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,3,0,0,280,660.0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,4,1,0,251,590.0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,5,0,0,229,1850.0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,6,0,0,180,2980.0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,7,1,0,160,3330.0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,8,1,1,137,3340.0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,10,0,1,81,1910.0
